,method,n,d,q,p,time
160,KeyGen,2,30,32767,35184372088831,0.0023912764001579488
161,Encryption,2,30,32767,35184372088831,0.0009076483998796903
162,Decrypt,2,30,32767,35184372088831,0.00029257200003485195
163,Addition,2,30,32767,35184372088831,2.2794400138081983e-05
164,Multiplication,2,30,32767,35184372088831,0.0036592380005458836
165,KeyGen,2,32,32767,35184372088831,0.002656341800320661
166,Encryption,2,32,32767,35184372088831,0.0010037644002295564
167,Decrypt,2,32,32767,35184372088831,0.00032999859977280723
168,Addition,2,32,32767,35184372088831,2.385260013397783e-05
169,Multiplication,2,32,32767,35184372088831,0.00442700359999435
170,KeyGen,4,1,32767,35184372088831,0.0005848938002600334
171,Encryption,4,1,32767,35184372088831,0.00017126540042227133
172,Decrypt,4,1,32767,35184372088831,5.46852003026288e-05
173,Addition,4,1,32767,35184372088831,2.6838600024348126e-05
174,Multiplication,4,1,32767,35184372088831,0.0009265465996577404
175,KeyGen,4,2,32767,35184372088831,0.0010654455996700562
176,Encryption,4,2,32767,35184372088831,0.00021412839996628463
177,Decrypt,4,2,32767,35184372088831,6.668540008831769e-05
178,Addition,4,2,32767,35184372088831,2.703060017665848e-05
179,Multiplication,4,2,32767,35184372088831,0.001139899199915817
180,KeyGen,4,4,32767,35184372088831,0.0013426732002699282
181,Encryption,4,4,32767,35184372088831,0.0002335706005396787
182,Decrypt,4,4,32767,35184372088831,6.10771996434778e-05
183,Addition,4,4,32767,35184372088831,2.0646399934776128e-05
184,Multiplication,4,4,32767,35184372088831,0.0012537073998828419
185,KeyGen,4,6,32767,35184372088831,0.0017966763996810186
186,Encryption,4,6,32767,35184372088831,0.00031645639974158256
187,Decrypt,4,6,32767,35184372088831,7.722360023763031e-05
188,Addition,4,6,32767,35184372088831,2.1834600192960352e-05
189,Multiplication,4,6,32767,35184372088831,0.001846967399615096
190,KeyGen,4,8,32767,35184372088831,0.00223309320062981
191,Encryption,4,8,32767,35184372088831,0.0005670476006343961
192,Decrypt,4,8,32767,35184372088831,0.00014140280036372132
193,Addition,4,8,32767,35184372088831,3.230459988117218e-05
194,Multiplication,4,8,32767,35184372088831,0.002679940199595876
195,KeyGen,4,10,32767,35184372088831,0.0029564920005213935
196,Encryption,4,10,32767,35184372088831,0.0005625554003927391
197,Decrypt,4,10,32767,35184372088831,0.00011892039983649739
198,Addition,4,10,32767,35184372088831,2.3192600201582537e-05
199,Multiplication,4,10,32767,35184372088831,0.00323562139965361
200,KeyGen,4,12,32767,35184372088831,0.0036883186003251467
201,Encryption,4,12,32767,35184372088831,0.0007334268004342448
202,Decrypt,4,12,32767,35184372088831,0.00014340699999593198
203,Addition,4,12,32767,35184372088831,2.453659981256351e-05
204,Multiplication,4,12,32767,35184372088831,0.004119667399936589
205,KeyGen,4,14,32767,35184372088831,0.004508211199572542
206,Encryption,4,14,32767,35184372088831,0.0008487432001857087
207,Decrypt,4,14,32767,35184372088831,0.0001763275999110192
208,Addition,4,14,32767,35184372088831,2.4402399867540224e-05
209,Multiplication,4,14,32767,35184372088831,0.005144518199813319
210,KeyGen,4,16,32767,35184372088831,0.0052287220001744576
211,Encryption,4,16,32767,35184372088831,0.001020148800307652
212,Decrypt,4,16,32767,35184372088831,0.00020982220012228937
213,Addition,4,16,32767,35184372088831,2.4664599914103745e-05
214,Multiplication,4,16,32767,35184372088831,0.006136978400172665
215,KeyGen,4,18,32767,35184372088831,0.006226785999751882
216,Encryption,4,18,32767,35184372088831,0.0012288007994357031
217,Decrypt,4,18,32767,35184372088831,0.00025346719994558955
218,Addition,4,18,32767,35184372088831,2.6156599778914825e-05
219,Multiplication,4,18,32767,35184372088831,0.007447356799821137
220,KeyGen,4,20,32767,35184372088831,0.007345832599821733
221,Encryption,4,20,32767,35184372088831,0.0014529774001857732
222,Decrypt,4,20,32767,35184372088831,0.00028908379972563124
223,Addition,4,20,32767,35184372088831,2.6266599888913333e-05
224,Multiplication,4,20,32767,35184372088831,0.00890256220009178
225,KeyGen,4,22,32767,35184372088831,0.008515578399965307
226,Encryption,4,22,32767,35184372088831,0.0017111225999542512
227,Decrypt,4,22,32767,35184372088831,0.0003427670002565719
228,Addition,4,22,32767,35184372088831,2.757660040515475e-05
229,Multiplication,4,22,32767,35184372088831,0.010490872399532235
230,KeyGen,4,24,32767,35184372088831,0.009990140199806773
231,Encryption,4,24,32767,35184372088831,0.002022139000473544
232,Decrypt,4,24,32767,35184372088831,0.00038982379992376083
233,Addition,4,24,32767,35184372088831,2.758859991445206e-05
234,Multiplication,4,24,32767,35184372088831,0.012766844400175614
235,KeyGen,4,26,32767,35184372088831,0.011700108800141606
236,Encryption,4,26,32767,35184372088831,0.0023930684001243208
237,Decrypt,4,26,32767,35184372088831,0.00045461319969035684
238,Addition,4,26,32767,35184372088831,2.979460041387938e-05
239,Multiplication,4,26,32767,35184372088831,0.014251442399836379
240,KeyGen,4,28,32767,35184372088831,0.013313725600164616
241,Encryption,4,28,32767,35184372088831,0.0026047305997053626
242,Decrypt,4,28,32767,35184372088831,0.0005019661999540404
243,Addition,4,28,32767,35184372088831,3.0410600447794423e-05
244,Multiplication,4,28,32767,35184372088831,0.015494877599849133
245,KeyGen,4,30,32767,35184372088831,0.014158094600134064
246,Encryption,4,30,32767,35184372088831,0.0029408235997834707
247,Decrypt,4,30,32767,35184372088831,0.0005954239997663536
248,Addition,4,30,32767,35184372088831,3.27385998389218e-05
249,Multiplication,4,30,32767,35184372088831,0.018267789800302126
250,KeyGen,4,32,32767,35184372088831,0.01627277139996295
251,Encryption,4,32,32767,35184372088831,0.00316557800033479
252,Decrypt,4,32,32767,35184372088831,0.0006141044003015849
253,Addition,4,32,32767,35184372088831,3.187859983881936e-05
254,Multiplication,4,32,32767,35184372088831,0.019895980800356483
255,KeyGen,6,1,32767,35184372088831,0.0014662397996289655
256,Encryption,6,1,32767,35184372088831,0.00019870420001097955
257,Decrypt,6,1,32767,35184372088831,4.441679993760772e-05
258,Addition,6,1,32767,35184372088831,2.076439996017143e-05
259,Multiplication,6,1,32767,35184372088831,0.00146080560007249
260,KeyGen,6,2,32767,35184372088831,0.0019484415999613703
261,Encryption,6,2,32767,35184372088831,0.00029524400015361606
262,Decrypt,6,2,32767,35184372088831,5.3407000086735935e-05
263,Addition,6,2,32767,35184372088831,2.1352399926399812e-05
264,Multiplication,6,2,32767,35184372088831,0.0019840742002998012
265,KeyGen,6,4,32767,35184372088831,0.0030644960002973675
266,Encryption,6,4,32767,35184372088831,0.00040830639991327187
267,Decrypt,6,4,32767,35184372088831,7.291559959412552e-05
268,Addition,6,4,32767,35184372088831,2.2838400036562233e-05
269,Multiplication,6,4,32767,35184372088831,0.0031517638002696914
270,KeyGen,6,6,32767,35184372088831,0.004718833399965661
271,Encryption,6,6,32767,35184372088831,0.0005755015998147428
272,Decrypt,6,6,32767,35184372088831,0.00010262400028295814
273,Addition,6,6,32767,35184372088831,2.493860010872595e-05
274,Multiplication,6,6,32767,35184372088831,0.004731835799611872
275,KeyGen,6,8,32767,35184372088831,0.006231280000065453
276,Encryption,6,8,32767,35184372088831,0.0008502331998897717
277,Decrypt,6,8,32767,35184372088831,0.00013357260031625627
278,Addition,6,8,32767,35184372088831,2.6264600455760957e-05
279,Multiplication,6,8,32767,35184372088831,0.006331316199793946
280,KeyGen,6,10,32767,35184372088831,0.008361855200200807
281,Encryption,6,10,32767,35184372088831,0.0010768877997179515
282,Decrypt,6,10,32767,35184372088831,0.00016887539968593046
283,Addition,6,10,32767,35184372088831,2.6896599592873827e-05
284,Multiplication,6,10,32767,35184372088831,0.008680989799904637
285,KeyGen,6,12,32767,35184372088831,0.010743609599740012
286,Encryption,6,12,32767,35184372088831,0.0013802440000290517
287,Decrypt,6,12,32767,35184372088831,0.00020887020000373013
288,Addition,6,12,32767,35184372088831,2.8282600396778435e-05
289,Multiplication,6,12,32767,35184372088831,0.011162884000077611
290,KeyGen,6,14,32767,35184372088831,0.012908171399612912
291,Encryption,6,14,32767,35184372088831,0.001725393000378972
292,Decrypt,6,14,32767,35184372088831,0.00024838300014380367
293,Addition,6,14,32767,35184372088831,2.9124600405339152e-05
294,Multiplication,6,14,32767,35184372088831,0.013827405800111593
295,KeyGen,6,16,32767,35184372088831,0.015623868200054857
296,Encryption,6,16,32767,35184372088831,0.002102916600415483
297,Decrypt,6,16,32767,35184372088831,0.0003006360006111208
298,Addition,6,16,32767,35184372088831,3.19026003126055e-05
299,Multiplication,6,16,32767,35184372088831,0.017018468600144842
300,KeyGen,6,18,32767,35184372088831,0.01903771740035154
301,Encryption,6,18,32767,35184372088831,0.0025763821999134962
302,Decrypt,6,18,32767,35184372088831,0.0003665395997813903
303,Addition,6,18,32767,35184372088831,3.307060032966547e-05
304,Multiplication,6,18,32767,35184372088831,0.020691036799689755
305,KeyGen,6,20,32767,35184372088831,0.022196027400059392
306,Encryption,6,20,32767,35184372088831,0.0031512718000158203
307,Decrypt,6,20,32767,35184372088831,0.00041883860030793584
308,Addition,6,20,32767,35184372088831,3.254280018154532e-05
309,Multiplication,6,20,32767,35184372088831,0.02447561740045785
310,KeyGen,6,22,32767,35184372088831,0.0253905700003088
311,Encryption,6,22,32767,35184372088831,0.003387362600187771
312,Decrypt,6,22,32767,35184372088831,0.0005138063999766019
313,Addition,6,22,32767,35184372088831,3.643059972091578e-05
314,Multiplication,6,22,32767,35184372088831,0.02870122079984867
315,KeyGen,6,24,32767,35184372088831,0.029899813199881463
