,method,n,d,q,p,time
172,Decrypt,8,8,58,6,0.0004191662999801338
173,Addition,8,8,58,6,5.270910041872412e-05
174,Multiplication,8,8,58,6,0.032700079699861814
175,KeyGen,8,8,58,1,0.03321399189953809
176,Encryption,8,8,58,1,0.002560630800144281
177,Decrypt,8,8,58,1,0.00033624259958742186
178,Addition,8,8,58,1,5.572209993260912e-05
179,Multiplication,8,8,58,1,0.0268771631999698
180,KeyGen,8,8,56,9,0.030206930299755186
181,Encryption,8,8,56,9,0.002644640400103526
182,Decrypt,8,8,56,9,0.0003329566003230866
183,Addition,8,8,56,9,5.565010069403797e-05
184,Multiplication,8,8,56,9,0.03021335140001611
185,KeyGen,8,8,56,7,0.03032483169954503
186,Encryption,8,8,56,7,0.0025731830995937345
187,Decrypt,8,8,56,7,0.00032912550013861617
188,Addition,8,8,56,7,5.80451000132598e-05
189,Multiplication,8,8,56,7,0.029729253800178414
190,KeyGen,8,8,56,6,0.030172599599609384
191,Encryption,8,8,56,6,0.0026343192999775055
192,Decrypt,8,8,56,6,0.00032793450009194203
193,Addition,8,8,56,6,5.800220023957081e-05
194,Multiplication,8,8,56,6,0.029938642000342953
195,KeyGen,8,8,56,5,0.029250035299628507
196,Encryption,8,8,56,5,0.0026498346000153107
197,Decrypt,8,8,56,5,0.0003388837001693901
198,Addition,8,8,56,5,5.7426100102020425e-05
199,Multiplication,8,8,56,5,0.02981802560025244
200,KeyGen,8,8,56,8,0.03467281580014969
201,Encryption,8,8,56,8,0.003012475800642278
202,Decrypt,8,8,56,8,0.0003325605997815728
203,Addition,8,8,56,8,5.5919100122991947e-05
204,Multiplication,8,8,56,8,0.03303466040015337
205,KeyGen,8,8,56,3,0.028278264000255147
206,Encryption,8,8,56,3,0.002623862100153929
207,Decrypt,8,8,56,3,0.0003317086004244629
208,Addition,8,8,56,3,6.03972002863884e-05
209,Multiplication,8,8,56,3,0.028507674499996936
210,KeyGen,8,8,56,4,0.03170896509982413
211,Encryption,8,8,56,4,0.0027731819995096886
212,Decrypt,8,8,56,4,0.0003407238000363577
213,Addition,8,8,56,4,5.9532200248213484e-05
214,Multiplication,8,8,56,4,0.030396946000109892
215,KeyGen,8,8,56,2,0.02941174349980429
216,Encryption,8,8,56,2,0.002813030799734406
217,Decrypt,8,8,56,2,0.0003332055995997507
218,Addition,8,8,56,2,5.977509936201386e-05
219,Multiplication,8,8,56,2,0.02981736150031793
220,KeyGen,8,8,56,1,0.02978964799985988
221,Encryption,8,8,56,1,0.0027295360996504314
222,Decrypt,8,8,56,1,0.00036242220012354663
223,Addition,8,8,56,1,5.767309994553216e-05
224,Multiplication,8,8,56,1,0.029530211899691496
225,KeyGen,8,8,54,9,0.0308153404002951
226,Encryption,8,8,54,9,0.0027012365993869026
227,Decrypt,8,8,54,9,0.00032800650005810895
228,Addition,8,8,54,9,5.770819989265874e-05
229,Multiplication,8,8,54,9,0.03085997519956436
230,KeyGen,8,8,54,8,0.03023786390040186
231,Encryption,8,8,54,8,0.002667150900379056
232,Decrypt,8,8,54,8,0.0003325306002807338
233,Addition,8,8,54,8,5.6624099670443684e-05
234,Multiplication,8,8,54,8,0.0316770905003068
235,KeyGen,8,8,54,7,0.029142646199761656
236,Encryption,8,8,54,7,0.0026031027002318295
237,Decrypt,8,8,54,7,0.0003049580001970753
238,Addition,8,8,54,7,5.7044099958147856e-05
239,Multiplication,8,8,54,7,0.029241857200395314
240,KeyGen,8,8,54,6,0.028838005100260487
241,Encryption,8,8,54,6,0.0026202549997833557
242,Decrypt,8,8,54,6,0.00032851950018084606
243,Addition,8,8,54,6,5.690909965778701e-05
244,Multiplication,8,8,54,6,0.02921141959959641
245,KeyGen,8,8,54,5,0.02925883639982203
246,Encryption,8,8,54,5,0.0026268941001035273
247,Decrypt,8,8,54,5,0.0003317456001241226
248,Addition,8,8,54,5,5.682810005964711e-05
249,Multiplication,8,8,54,5,0.028847957399557346
250,KeyGen,8,8,54,4,0.029164551499707158
251,Encryption,8,8,54,4,0.002641241400124272
252,Decrypt,8,8,54,4,0.00033315460023004563
253,Addition,8,8,54,4,5.823819956276566e-05
254,Multiplication,8,8,54,4,0.02886265260021901
255,KeyGen,8,8,54,3,0.028272400900459616
256,Encryption,8,8,54,3,0.0025879843000438997
257,Decrypt,8,8,54,3,0.00032091539978864605
258,Addition,8,8,54,3,5.6169099843828006e-05
259,Multiplication,8,8,54,3,0.028554122499917865
260,KeyGen,8,8,54,1,0.027753440600645263
261,Encryption,8,8,54,1,0.0026170238998020068
262,Decrypt,8,8,54,1,0.0003344256998389028
263,Addition,8,8,54,1,5.916420050198212e-05
264,Multiplication,8,8,54,1,0.027744032400369177
265,KeyGen,8,8,54,2,0.03276811210016604
266,Encryption,8,8,54,2,0.0027849743004480843
267,Decrypt,8,8,54,2,0.0005232183997577522
268,Addition,8,8,54,2,5.767719994764775e-05
269,Multiplication,8,8,54,2,0.03148638870043215
270,KeyGen,8,8,52,5,0.03039301590033574
271,Encryption,8,8,52,5,0.0026527446003456133
272,Decrypt,8,8,52,5,0.00032617840042803437
273,Addition,8,8,52,5,5.723610011045821e-05
274,Multiplication,8,8,52,5,0.0287890781997703
275,KeyGen,8,8,52,9,0.031254735999391416
276,Encryption,8,8,52,9,0.0027684259999659843
277,Decrypt,8,8,52,9,0.00034062079939758407
278,Addition,8,8,52,9,6.0273199778748676e-05
279,Multiplication,8,8,52,9,0.03234710979959345
280,KeyGen,8,8,52,8,0.03173494860020583
281,Encryption,8,8,52,8,0.0028011785994749515
282,Decrypt,8,8,52,8,0.00033414969948353246
283,Addition,8,8,52,8,5.6854099966585636e-05
